t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
807604900,807604900,1174016487,1113270157,1
828282576,828282576,1174016487,1113270157,1
848472495,848472495,1174016487,1113270157,1
869023836,869023836,1174016487,1113270157,1
889076043,889076043,1174016487,1113270157,1
909677398,909677398,1174016487,1113270157,1
930305527,930305527,1174016487,1113270157,1
950310151,950310151,1174016487,1113270157,1
970680359,970680359,1174016487,1113270157,1
991082278,991082278,1174016487,1113270157,1
1011253337,1011253337,1174016487,1113270157,1
1031855619,1031855619,1174016487,1113270157,1
1052169293,1052169293,1174016487,1113270157,1
1072627154,1072627154,1174016487,1113270157,1
1093116421,1093116421,1174016487,1113270157,1
1113270157,1113270157,1174016487,1113270157,1
1133759761,1133759761,1174016487,1113270157,1
1153960447,1153960447,1174016487,1113270157,1
1174016487,1174016487,1174016487,1113270157,0
483042043,483042043,1194562518,1113270157,1
503840304,503840304,1194562518,1113270157,1
523954424,523954424,1194562518,1113270157,1
544120304,544120304,1194562518,1113270157,1
564280953,564280953,1194562518,1113270157,1
584359045,584359045,1194562518,1113270157,1
604537710,604537710,1194562518,1113270157,1
625119245,625119245,1194562518,1113270157,1
645431581,645431581,1194562518,1113270157,1
665822658,665822658,1194562518,1113270157,1
686201757,686201757,1194562518,1113270157,1
706364932,706364932,1194562518,1113270157,1
726833293,726833293,1194562518,1113270157,1
746925046,746925046,1194562518,1113270157,1
766966843,766966843,1194562518,1113270157,1
786988043,786988043,1194562518,1113270157,1
807604900,807604900,1194562518,1113270157,1
828282576,828282576,1194562518,1113270157,1
848472495,848472495,1194562518,1113270157,1
869023836,869023836,1194562518,1113270157,1
889076043,889076043,1194562518,1113270157,1
909677398,909677398,1194562518,1113270157,1
930305527,930305527,1194562518,1113270157,1
950310151,950310151,1194562518,1113270157,1
970680359,970680359,1194562518,1113270157,1
991082278,991082278,1194562518,1113270157,1
1011253337,1011253337,1194562518,1113270157,1
1031855619,1031855619,1194562518,1113270157,1
1052169293,1052169293,1194562518,1113270157,1
1072627154,1072627154,1194562518,1113270157,1
1093116421,1093116421,1194562518,1113270157,1
1113270157,1113270157,1194562518,1113270157,1
1133759761,1133759761,1194562518,1113270157,1
1153960447,1153960447,1194562518,1113270157,1
1174016487,1174016487,1194562518,1113270157,1
1194562518,1194562518,1194562518,1113270157,0
483042043,483042043,1215341158,1113270157,1
503840304,503840304,1215341158,1113270157,1
523954424,523954424,1215341158,1113270157,1
544120304,544120304,1215341158,1113270157,1
564280953,564280953,1215341158,1113270157,1
584359045,584359045,1215341158,1113270157,1
604537710,604537710,1215341158,1113270157,1
625119245,625119245,1215341158,1113270157,1
645431581,645431581,1215341158,1113270157,1
665822658,665822658,1215341158,1113270157,1
686201757,686201757,1215341158,1113270157,1
706364932,706364932,1215341158,1113270157,1
726833293,726833293,1215341158,1113270157,1
746925046,746925046,1215341158,1113270157,1
766966843,766966843,1215341158,1113270157,1
786988043,786988043,1215341158,1113270157,1
807604900,807604900,1215341158,1113270157,1
828282576,828282576,1215341158,1113270157,1
848472495,848472495,1215341158,1113270157,1
869023836,869023836,1215341158,1113270157,1
889076043,889076043,1215341158,1113270157,1
909677398,909677398,1215341158,1113270157,1
930305527,930305527,1215341158,1113270157,1
950310151,950310151,1215341158,1113270157,1
970680359,970680359,1215341158,1113270157,1
991082278,991082278,1215341158,1113270157,1
1011253337,1011253337,1215341158,1113270157,1
1031855619,1031855619,1215341158,1113270157,1
1052169293,1052169293,1215341158,1113270157,1
1072627154,1072627154,1215341158,1113270157,1
1093116421,1093116421,1215341158,1113270157,1
1113270157,1113270157,1215341158,1113270157,1
1133759761,1133759761,1215341158,1113270157,1
1153960447,1153960447,1215341158,1113270157,1
1174016487,1174016487,1215341158,1113270157,1
1194562518,1194562518,1215341158,1113270157,1
1215341158,1215341158,1215341158,1113270157,0
483042043,483042043,1235726043,1113270157,1
503840304,503840304,1235726043,1113270157,1
523954424,523954424,1235726043,1113270157,1
544120304,544120304,1235726043,1113270157,1
564280953,564280953,1235726043,1113270157,1
584359045,584359045,1235726043,1113270157,1
604537710,604537710,1235726043,1113270157,1
625119245,625119245,1235726043,1113270157,1
645431581,645431581,1235726043,1113270157,1
665822658,665822658,1235726043,1113270157,1
686201757,686201757,1235726043,1113270157,1
706364932,706364932,1235726043,1113270157,1
726833293,726833293,1235726043,1113270157,1
746925046,746925046,1235726043,1113270157,1
766966843,766966843,1235726043,1113270157,1
786988043,786988043,1235726043,1113270157,1
807604900,807604900,1235726043,1113270157,1
828282576,828282576,1235726043,1113270157,1
848472495,848472495,1235726043,1113270157,1
869023836,869023836,1235726043,1113270157,1
889076043,889076043,1235726043,1113270157,1
909677398,909677398,1235726043,1113270157,1
930305527,930305527,1235726043,1113270157,1
950310151,950310151,1235726043,1113270157,1
970680359,970680359,1235726043,1113270157,1
991082278,991082278,1235726043,1113270157,1
1011253337,1011253337,1235726043,1113270157,1
